Date,^W1DOW_close,MMM_close,ABBV_close,ALV_close,GOOGL_close,AMZN_close,AMGN_close,ABI.BR_close,AAPL_close,BHP_close,BA_close,BP_close,BATS.L_close,CVX_close,CSCO_close,C_close,KO_close,DD_close,XOM_close,META_close,GE_close,GSK_close,HSBA.L_close,INTC_close,IBM_close,JNJ_close,JPM_close,MA_close,MCD_close,MRK_close,MSFT_close,NESN.SW_close,NOVN_close,NVDA_close,ORCL_close,PEP_close,PFE_close,PM_close,PG_close,ROG_close,RY_close,SMSN.L_close,SAN_close,SIE.DE_close,TSM_close,V_close,7203.T_close,WMT_close,DIS_close
3/17/23,467.9400024,103.0199966,154.2200012,87.37999725,101.6200027,98.94999695,229.7899933,56.29000092,155,57.59999847,201.0500031,35.16999817,2948.5,152.3399963,50.18999863,44.25,60.02000046,67.55000305,99.83999634,195.6100006,90.29000092,34.06999969,542.0999756,29.80999947,123.6900024,152.3800049,125.8099976,349.6600037,267.2000122,104.0999985,279.4299927,109.3399963,1.070000052,257.25,85.26000214,175.1300049,40.09999847,94.79000092,142.9299927,149.8899994,92.65000153,,3.289999962,137.3600006,89.47000122,217.3899994,1786,139.3999939,93.19999695
3/19/18,400.21,194.2043152,88.6125946,94.74460602,55.00350189,77.24649811,157.2797852,78.56794739,41.77929306,31.14791489,317.7255859,29.22955704,2852.861572,91.56661987,38.03028488,61.65642166,36.9414978,85.69945526,57.15671158,172.5599976,81.40885162,28.84866714,540.6100464,44.01625443,118.0837173,114.0215225,98.86232758,175.748291,141.3485565,44.69413376,87.6672287,66.5663681,33.09999847,59.66903687,47.82894897,95.44470978,28.73736,76.94139099,68.74054718,135.2299957,64.75201416,1029.582153,5.751338005,90.07961273,38.36185455,119.2043839,1098.243164,79.95652771,98.68980408
3/20/18,400.44,194.9506989,89.10298157,94.98122406,54.79000092,79.32550049,156.8317413,79.02429199,41.76499557,31.47200775,323.34729,29.44830513,2823.129883,92.05705261,38.11619568,61.84298706,36.8561058,85.48056793,57.03337097,168.1499939,78.92089081,28.74700546,543.3302002,44.6397438,117.2206955,114.8707199,98.95731354,177.6266022,141.677475,44.70231628,87.89372253,66.47866821,32.79999924,61.79336166,43.31764603,95.04686737,28.73736,75.82969666,68.43469238,136.5,65.03397369,1043.483887,5.734014511,90.47290802,38.55967712,120.8491135,1102.425659,80.41368866,98.56337738
3/21/18,400.27,196.3680725,88.94480133,95.99796295,54.70000076,79.09300232,156.452652,77.72415161,40.81882477,32.28223038,322.8397217,30.27050209,2742.782471,94.09920502,38.06464767,62.18224716,36.71948242,86.81961823,57.84274292,169.3899994,80.30951691,28.74700546,539.3666382,44.64840317,117.5884171,114.8532181,99.04361725,175.9137573,141.0374603,44.74322891,87.28027344,65.51393127,33.79999924,61.54082489,43.2900238,94.04362488,28.68989372,74.72130585,67.3248291,136.1799927,65.73057556,1026.975708,5.682044506,90.72940063,38.44786072,119.2140656,1102.425659,80.62397766,99.02045441
3/22/18,394.07,187.1678162,77.59436035,94.30335999,52.65750122,77.2460022,151.7053986,76.70814514,40.24206924,31.00700378,306.0895691,29.44076538,2785.296143,91.41384125,36.99941635,59.62948608,36.514534,84.48916626,56.65566254,164.8899994,77.24295044,28.26997948,526.8539429,44.01625443,114.1363525,111.517662,94.90888214,170.8236847,139.5973663,44.2768898,84.74152374,64.98771667,33.70000076,59.87950134,42.24966431,93.35176086,28.15991592,74.66015625,66.77427673,129.8099976,64.54467773,1019.156006,5.500150681,88.28417969,37.57913589,116.0890732,1101.299438,79.67310333,97.83399963
3/23/18,387.07,180.6177368,77.08813477,92.6791153,51.32749939,74.77799988,145.9759827,75.14970398,39.31020355,30.99995995,307.4207764,29.50865555,2811.4646,90.83499908,36.44103241,57.5855751,36.14733887,81.19302368,56.18545914,159.3899994,75.62287903,29.26313782,518.0716553,42.74330139,111.7348862,109.5215759,92.3710556,167.2323914,137.7661743,43.69601822,82.27826691,64.63690186,33.59999847,57.68089676,41.23692322,91.80369568,27.28190231,73.10073853,66.33732605,121.8899994,63.9061203,992.2221069,5.491488457,86.72814941,36.62439346,113.1962357,1062.20874,78.1004715,95.8306427
3/26/18,392.64,184.7104492,75.36380768,95.32652283,52.70449829,77.79299927,150.9386139,73.9442749,41.17631912,31.57768822,315.0536194,30.489254,2796.050537,92.74044037,37.84988022,59.1799736,36.45475388,83.02134705,57.04107666,160.0599976,74.58136749,29.27095795,516.9836426,45.44508743,115.0969238,111.5264053,95.21963501,172.4294739,140.4596252,44.21144485,88.50719452,64.02298737,30.89999962,60.53065491,42.79286957,92.3744812,27.71694946,73.65113068,66.77427673,126.6699982,64.39541626,1001.778931,5.682044506,85.82186127,38.07801437,116.7179337,1068.482666,80.00223541,97.88262939
3/27/18,390.84,181.0454559,72.77732849,94.37371063,50.34700012,74.85250092,147.4578247,74.83973694,40.12051392,31.07041168,307.5357056,30.14981461,2829.029785,92.18569183,36.66438675,57.9078331,36.62553787,81.93981171,56.80982971,152.2200012,77.76368713,30.021698,522.2684937,44.32800293,114.0012589,111.3688049,93.37240601,167.9039307,139.9885254,43.97419357,84.43953705,64.90001678,29.39999962,55.83636856,41.78013229,93.09230804,27.69321823,73.94159698,67.98025513,122.6999969,63.57439423,997.4348145,5.578104973,87.03592682,37.23508072,113.5832901,1108.538696,78.67648315,96.6280899
3/28/18,388.6,181.6073456,74.56492615,90.88217926,50.25899887,71.57099915,146.8634033,76.62204742,39.67722702,30.64064217,306.4822693,29.87071228,2927.966797,90.12746429,35.78815079,57.89089203,36.99274063,80.35610199,56.12379074,153.0299988,79.1523056,30.79589462,520.4810181,42.95113373,114.4590607,111.5789413,93.22563934,165.7920074,140.8152008,45.07047653,84.36401367,66.28572083,29.89999962,54.8039093,41.41184235,94.42417908,27.92261505,76.28072357,68.89783478,117.6900024,63.29244614,995.8405151,5.604090214,87.46342468,36.71900558,113.1865921,1123.437012,80.24911499,95.8306427
3/29/18,391.74,184.1065979,74.86550903,93.32497406,51.85699844,72.36699677,146.8806,76.87173462,39.98705673,31.30291176,314.0097656,30.57976913,2961.662842,91.68721771,36.84479904,57.24633026,37.08667755,82.02992249,57.51128769,159.7899933,77.99512482,30.5534687,517.1390381,45.09870529,115.1419678,112.1917572,94.92613983,170.4732971,139.0107117,44.56324005,86.13832092,66.32080078,29.29999924,57.3392334,42.12077332,94.39823914,28.07290459,75.98258972,69.28236389,119.5400009,64.09685516,1002.841309,5.673383236,88.50646973,37.63933945,115.731102,1217.768555,81.34628296,97.67839813
